Category,Country,Name
Player Given Name,usa,A'ja
Player Given Name,usa,Breanna
Player Given Name,usa,Chelsea
Player Given Name,usa,Jewell
Player Given Name,usa,Skylar
Player Given Name,usa,Nneka
Player Given Name,usa,Chiney
Player Given Name,usa,Candace
Player Given Name,usa,Brittney
Player Given Name,usa,Diana
Player Given Name,usa,Kahleah
Player Given Name,usa,Alyssa
Player Given Name,usa,Napheesa
Player Given Name,usa,Sabrina
Player Given Name,usa,Jonquel
Player Given Name,usa,Natasha
Player Given Name,usa,Dearica
Player Given Name,usa,Allisha
Player Given Name,usa,Kayla
Player Given Name,usa,Kelsey
Player Given Name,usa,Tiffany
Player Given Name,usa,Sylvia
Player Given Name,usa,Tamika
Player Given Name,usa,Lisa
Player Given Name,usa,Tina
Player Given Name,usa,Seimone
Player Given Name,usa,Angel
Player Given Name,usa,Caitlin
Player Given Name,usa,Kamilla
Player Given Name,usa,Aliyah
Player Given Name,usa,Lexie
Player Given Name,usa,Kaitlyn
Player Given Name,usa,Sydney
Player Given Name,usa,Destanni
Player Given Name,usa,Tyasha
Player Given Name,usa,Crystal
Player Given Name,usa,Rhyne
Player Given Name,usa,Jackie
Player Given Name,usa,NaLyssa
Player Given Name,usa,Shakira
Player Given Name,usa,Jasmine
Player Given Name,usa,Diamond
Player Given Name,usa,Asia
Player Given Name,usa,Brianna
Player Given Name,usa,Kiah
Player Given Name,usa,Layshia
Player Given Name,usa,Tierra
Player Given Name,usa,Courtney
Player Given Name,usa,Kysre
Player Given Name,usa,Chennedy
Player Given Name,usa,Lexie
Player Given Name,usa,Azura
Player Given Name,usa,Michaela
Player Given Name,usa,Myisha
Player Given Name,usa,Kaila
Player Given Name,usa,Aerial
Player Given Name,usa,Lexie
Player Given Name,usa,Teaira
Player Given Name,usa,Isabelle
Player Given Name,usa,Satou
Player Given Name,usa,Odyssey
Player Given Name,usa,Theresa
Player Given Name,usa,Monique
Player Given Name,usa,Dantas
Player Given Name,usa,Glory
Player Given Name,usa,DeWanna
Player Given Name,usa,Bria
Player Given Name,usa,Jordin
Player Given Name,usa,Imani
Player Given Name,usa,Alexis
Player Given Name,usa,Kia
Player Given Name,usa,Nikki
Player Given Name,usa,Tasia
Player Given Name,usa,Camille
Player Given Name,usa,Elena
Player Given Name,usa,Epiphanny
Player Given Name,usa,Cappie
Player Given Name,usa,Swin
Player Given Name,usa,Tanisha
Player Given Name,usa,Kara
Player Given Name,usa,Taj
Player Given Name,usa,Ruth
Player Given Name,usa,Chamique
Player Given Name,usa,Alana
Player Given Name,usa,Clarissa
Player Given Name,usa,Erika
Player Given Name,usa,Iziane
Player Given Name,usa,Taina
Player Given Name,usa,Stephanie
Player Given Name,usa,Joice
Player Given Name,usa,Micaela
Player Given Name,usa,Victoria
Player Given Name,usa,Alana
Player Given Name,usa,Leticia
Player Given Name,usa,Sassá
Player Given Name,usa,Zoe
Player Given Name,usa,Olivia
Player Given Name,usa,Ava
Player Given Name,usa,Mia
Player Given Name,usa,Charlotte
Player Given Name,usa,Amelia
Player Given Name,usa,Harper
Player Given Name,usa,Evelyn
Player Given Name,usa,Abigail
Player Given Name,usa,Emily
